,date,gameid
0,20100327,HTOB0
1,20100327,HHSK0
2,20100327,LGSS0
3,20100327,WOLT0
4,20100328,HHSK0
5,20100328,LGSS0
6,20100328,WOLT0
7,20100328,HTOB0
8,20100330,SKLG0
9,20100330,OBWO0
10,20100330,LTHH0
11,20100330,SSHT0
12,20100331,SSHT0
13,20100402,WOLG0
14,20100402,OBSK0
15,20100402,SSHH0
16,20100402,LTHT0
17,20100403,LTHT0
18,20100403,WOLG0
19,20100403,OBSK0
20,20100403,SSHH0
21,20100404,OBSK0
22,20100404,WOLG0
23,20100404,SSHH0
24,20100404,LTHT0
25,20100406,HHOB0
26,20100406,HTSK0
27,20100406,WOSS0
28,20100406,LGLT0
29,20100407,HHOB0
30,20100407,HTSK0
31,20100407,WOSS0
32,20100407,LGLT0
33,20100408,HHOB0
34,20100408,HTSK0
35,20100408,WOSS0
36,20100408,LGLT0
37,20100409,LGOB0
38,20100409,SKWO0
39,20100409,HTSS0
40,20100409,HHLT0
41,20100410,LGOB0
42,20100410,SKWO0
43,20100410,HTSS0
44,20100410,HHLT0
45,20100411,HTSS0
46,20100411,HHLT0
47,20100411,LGOB0
48,20100411,SKWO0
49,20100413,SSLG0
50,20100413,LTWO0
51,20100413,SKHH0
52,20100413,OBHT0
53,20100414,SSLG0
54,20100414,LTWO0
55,20100414,SKHH0
56,20100415,SSLG0
57,20100415,LTWO0
58,20100415,SKHH0
59,20100415,OBHT0
60,20100416,LTOB0
61,20100416,SSSK0
62,20100416,LGHT0
63,20100416,WOHH0
64,20100417,LTOB0
65,20100417,SSSK0
66,20100417,LGHT0
67,20100417,WOHH0
68,20100418,LTOB0
69,20100418,SSSK0
70,20100418,WOHH0
71,20100420,SKOB0
72,20100420,LGWO0
73,20100420,HHSS0
74,20100420,HTLT0
75,20100421,HHSS0
76,20100421,HTLT0
77,20100422,SKOB0
78,20100422,LGWO0
79,20100422,HHSS0
80,20100422,HTLT0
81,20100423,HHLG0
82,20100423,HTWO0
83,20100423,LTSK0
84,20100423,OBSS0
85,20100424,HHLG0
86,20100424,HTWO0
87,20100424,LTSK0
88,20100424,OBSS0
89,20100425,OBSS0
90,20100425,HHLG0
91,20100425,HTWO0
92,20100425,LTSK0
93,20100427,OBHH0
94,20100427,WOLT0
95,20100427,SKHT0
96,20100428,WOLT0
97,20100429,SSLG0
98,20100429,OBHH0
99,20100429,WOLT0
100,20100429,SKHT0
101,20100430,WOOB0
102,20100430,LGSK0
103,20100430,SSHH0
104,20100430,HTLT0
105,20100501,WOOB0
106,20100501,LGSK0
107,20100501,SSHH0
108,20100501,HTLT0
109,20100502,HTLT0
110,20100502,WOOB0
111,20100502,LGSK0
112,20100502,SSHH0
113,20100504,OBLG0
114,20100504,WOSK0
115,20100504,LTSS0
116,20100504,HHHT0
117,20100505,OBLG0
118,20100505,WOSK0
119,20100505,LTSS0
120,20100505,HHHT0
121,20100506,OBLG0
122,20100506,WOSK0
123,20100506,LTSS0
124,20100506,HHHT0
125,20100507,HTLG0
126,20100507,HHWO0
127,20100507,SKSS0
128,20100507,OBLT0
129,20100508,HTLG0
130,20100508,HHWO0
131,20100508,SKSS0
132,20100508,OBLT0
133,20100509,SKSS0
134,20100509,OBLT0
135,20100509,HTLG0
136,20100509,HHWO0
137,20100511,SSOB0
138,20100511,SKLT0
139,20100511,WOHT0
140,20100511,LGHH0
141,20100512,SSOB0
142,20100512,SKLT0
143,20100512,WOHT0
144,20100512,LGHH0
145,20100513,SSOB0
146,20100513,SKLT0
147,20100513,WOHT0
148,20100513,LGHH0
149,20100514,LTLG0
150,20100514,SSWO0
151,20100514,OBSK0
152,20100514,HTHH0
153,20100515,LTLG0
154,20100515,SSWO0
155,20100515,OBSK0
156,20100515,HTHH0
157,20100516,LTLG0
158,20100516,SSWO0
159,20100516,OBSK0
160,20100516,HTHH0
161,20100519,HHOB0
162,20100519,WOSK0
163,20100519,LGSS0
164,20100519,LTHT0
165,20100520,HHOB0
166,20100520,WOSK0
167,20100520,LGSS0
168,20100520,LTHT0
169,20100521,LGOB0
170,20100521,SKHH0
171,20100521,SSLT0
172,20100521,WOHT0
173,20100522,LGOB0
174,20100523,LGOB0
175,20100523,WOHT0
176,20100525,HTLG0
177,20100525,WOHH0
178,20100525,SKSS0
179,20100525,OBLT0
180,20100526,HTLG0
181,20100526,WOHH0
182,20100526,SKSS0
183,20100526,OBLT0
184,20100527,HTLG0
185,20100527,WOHH0
186,20100527,SKSS0
