date,away,home,gameid
20190323,HH,OB,HHOB0
20190323,KT,SK,KTSK0
20190323,WO,LT,WOLT0
20190323,SS,NC,SSNC0
20190323,LG,HT,LGHT0
20190324,HH,OB,HHOB0
20190324,KT,SK,KTSK0
20190324,WO,LT,WOLT0
20190324,SS,NC,SSNC0
20190324,LG,HT,LGHT0
20190326,WO,OB,WOOB0
20190326,LG,SK,LGSK0
20190326,SS,LT,SSLT0
20190326,KT,NC,KTNC0
20190326,HH,HT,HHHT0
20190327,WO,OB,WOOB0
20190327,LG,SK,LGSK0
20190327,SS,LT,SSLT0
20190327,KT,NC,KTNC0
20190327,HH,HT,HHHT0
20190328,WO,OB,WOOB0
20190328,LG,SK,LGSK0
20190328,SS,LT,SSLT0
20190328,KT,NC,KTNC0
20190328,HH,HT,HHHT0
20190329,LT,LG,LTLG0
20190329,OB,SS,OBSS0
20190329,HT,KT,HTKT0
20190329,SK,WO,SKWO0
20190329,NC,HH,NCHH0
20190330,LT,LG,LTLG0
20190330,OB,SS,OBSS0
20190330,HT,KT,HTKT0
20190330,SK,WO,SKWO0
20190330,NC,HH,NCHH0
20190331,LT,LG,LTLG0
20190331,OB,SS,OBSS0
20190331,HT,KT,HTKT0
20190331,SK,WO,SKWO0
20190331,NC,HH,NCHH0
20190402,KT,OB,KTOB0
20190402,LT,SK,LTSK0
20190402,HT,SS,HTSS0
20190402,WO,NC,WONC0
20190402,LG,HH,LGHH0
20190403,KT,OB,KTOB0
20190403,LT,SK,LTSK0
20190403,HT,SS,HTSS0
20190403,WO,NC,WONC0
20190403,LG,HH,LGHH0
20190404,KT,OB,KTOB0
20190404,LT,SK,LTSK0
20190404,HT,SS,HTSS0
20190404,WO,NC,WONC0
20190404,LG,HH,LGHH0
20190405,NC,OB,NCOB0
20190405,SS,SK,SSSK0
20190405,HH,LT,HHLT0
20190405,LG,KT,LGKT0
20190405,WO,HT,WOHT0
20190406,NC,OB,NCOB0
20190406,SS,SK,SSSK0
20190406,HH,LT,HHLT0
20190406,LG,KT,LGKT0
20190406,WO,HT,WOHT0
20190407,NC,OB,NCOB0
20190407,SS,SK,SSSK0
20190407,HH,LT,HHLT0
20190407,LG,KT,LGKT0
20190409,KT,WO,KTWO0
20190410,SS,LG,SSLG0
20190410,OB,LT,OBLT0
20190410,NC,HT,NCHT0
20190410,KT,WO,KTWO0
20190410,SK,HH,SKHH0
20190411,SS,LG,SSLG0
20190411,OB,LT,OBLT0
20190411,NC,HT,NCHT0
20190411,KT,WO,KTWO0
20190411,SK,HH,SKHH0
20190412,OB,LG,OBLG0
20190412,HT,SK,HTSK0
20190412,KT,SS,KTSS0
20190412,HH,WO,HHWO0
20190412,LT,NC,LTNC0
20190413,OB,LG,OBLG0
20190413,HT,SK,HTSK0
20190413,KT,SS,KTSS0
20190413,LT,NC,LTNC0
20190413,HH,WO,HHWO0
20190414,OB,LG,OBLG0
20190414,HT,SK,HTSK0
20190414,KT,SS,KTSS0
20190414,LT,NC,LTNC0
20190414,HH,WO,HHWO0
20190416,SK,OB,SKOB0
20190416,HT,LT,HTLT0
20190416,LG,NC,LGNC0
20190416,HH,KT,HHKT0
20190416,WO,SS,WOSS0
20190417,SK,OB,SKOB0
20190417,HT,LT,HTLT0
20190417,LG,NC,LGNC0
20190417,HH,KT,HHKT0
20190417,WO,SS,WOSS0
20190418,SK,OB,SKOB0
20190418,HT,LT,HTLT0
20190418,LG,NC,LGNC0
20190418,HH,KT,HHKT0
20190418,WO,SS,WOSS0
20190419,WO,LG,WOLG0
20190419,NC,SK,NCSK0
20190419,KT,LT,KTLT0
20190419,OB,HT,OBHT0
20190419,SS,HH,SSHH0
20190420,WO,LG,WOLG0
20190420,NC,SK,NCSK0
20190420,KT,LT,KTLT0
20190420,OB,HT,OBHT0
20190420,SS,HH,SSHH0
20190421,WO,LG,WOLG0
20190421,NC,SK,NCSK0
20190421,KT,LT,KTLT0
20190421,OB,HT,OBHT0
20190421,SS,HH,SSHH0
20190423,HT,LG,HTLG0
20190423,NC,KT,NCKT0
20190423,OB,WO,OBWO0
20190424,HT,LG,HTLG0
20190424,SK,SS,SKSS0
20190424,NC,KT,NCKT0
20190424,OB,WO,OBWO0
20190424,LT,HH,LTHH0
20190425,SK,SS,SKSS0
20190425,OB,WO,OBWO0
20190426,LT,OB,LTOB0
20190426,SK,KT,SKKT0
20190426,HT,WO,HTWO0
20190427,LT,OB,LTOB0
20190427,LG,SS,LGSS0
20190427,HH,NC,HHNC0
20190427,SK,KT,SKKT0
20190427,HT,WO,HTWO0
20190428,LT,OB,LTOB0
20190428,LG,SS,LGSS0
20190428,HH,NC,HHNC0
20190428,SK,KT,SKKT0
20190428,HT,WO,HTWO0
20190430,KT,LG,KTLG0
20190430,WO,SK,WOSK0
20190430,NC,LT,NCLT0
20190430,SS,HT,SSHT0
20190430,OB,HH,OBHH0
20190501,KT,LG,KTLG0
20190501,WO,SK,WOSK0
20190501,NC,LT,NCLT0
20190501,SS,HT,SSHT0
20190501,OB,HH,OBHH0
20190502,KT,LG,KTLG0
20190502,WO,SK,WOSK0
20190502,NC,LT,NCLT0
20190502,SS,HT,SSHT0
