"선수명","ID","season_2010","season_2011","season_2012","season_2013","season_2014","season_2015","season_2016","season_2017","season_2018","season_2019","season_2010_tf","season_2011_tf","season_2012_tf","season_2013_tf","season_2014_tf","season_2015_tf","season_2016_tf","season_2017_tf","season_2018_tf","season_2019_tf"
"가득염",92501,"SK","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"가르시아",68103,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","LG","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"가르시아",78595,"롯데","한화","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"가코",61435,"소속팀없음","삼성","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강경학",61700,"소속팀없음","한화","소속팀없음","소속팀없음","한화","한화","한화","한화","한화","한화","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강구성",62917,"소속팀없음","소속팀없음","소속팀없음","NC","소속팀없음","NC","NC","NC","NC","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강귀태",72312,"키움","키움","키움","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강동관",65514,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","롯데","롯데","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강동연",61295,"소속팀없음","소속팀없음","소속팀없음","두산","두산","소속팀없음","두산","소속팀없음","두산","두산","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강동우",98420,"한화","한화","한화","한화","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강동호",67591,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","롯데","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강로한",65515,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","롯데","소속팀없음","소속팀없음","소속팀없음","롯데","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강명구",73409,"삼성","삼성","삼성","삼성","삼성","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강민국",64906,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","NC","NC","NC","소속팀없음","NC","KT","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강민호",74540,"롯데","롯데","롯데","롯데","롯데","롯데","롯데","롯데","삼성","삼성","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강백호",68050,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","KT","KT","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강병식",72325,"키움","키움","키움","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강병우",75143,"키움","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강병의",61108,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","LG","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강봉규",70224,"삼성","삼성","삼성","삼성","소속팀없음","삼성","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강상원",66710,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","한화","한화","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강승현",78552,"소속팀없음","소속팀없음","소속팀없음","롯데","롯데","소속팀없음","롯데","한화","한화","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강승호",63123,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","LG","LG","LG-SK","SK","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","yes_transfer","no_transfer"
"강영식",70615,"롯데","롯데","롯데","롯데","롯데","롯데","롯데","롯데","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강윤구",79358,"키움","키움","키움","키움","키움","소속팀없음","키움","NC","NC","NC","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강이준",67604,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","기아","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강장산",64907,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","NC","NC","NC-KT","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","yes_transfer","no_transfer","no_transfer"
"강정현",69158,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","LG","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강정호",76325,"키움","키움","키움","키움","키움","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강지광",79130,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","키움","키움","키움","키움","SK","SK","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강진성",62925,"소속팀없음","소속팀없음","소속팀없음","NC","소속팀없음","소속팀없음","소속팀없음","NC","NC","NC","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강철민",72627,"LG","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"강한울",64610,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","기아","기아","기아","삼성","삼성","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"경헌호",70121,"LG","LG","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"고도현",63563,"소속팀없음","소속팀없음","소속팀없음","롯데","롯데","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"고동진",74745,"소속팀없음","한화","한화","한화","한화","한화","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"고든",61855,"소속팀없음","SK","삼성","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"고메즈",66805,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","SK","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"고명성",68069,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","KT","KT","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
